ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
4042,0.178,0.731,0.091,0.4091
4044,0.0,0.909,0.091,-0.4019
4047,0.0,1.0,0.0,0.0
4048,0.117,0.8,0.083,0.0378
4049,0.0,0.876,0.124,-0.4019
4050,0.135,0.807,0.057,0.4588
4058,0.0,1.0,0.0,0.0
4059,0.0,0.899,0.101,-0.4019
4062,0.139,0.773,0.087,0.2516
4065,0.281,0.719,0.0,0.5719
4066,0.074,0.926,0.0,0.2144
4070,0.0,0.843,0.157,-0.4215
4071,0.0,1.0,0.0,0.0
4073,0.0,0.68,0.32,-0.5106
4074,0.0,1.0,0.0,0.0
4075,0.0,1.0,0.0,0.0
4076,0.0,0.674,0.326,-0.4404
4091,0.0,0.851,0.149,-0.5423
4092,0.0,1.0,0.0,0.0
4094,0.144,0.856,0.0,0.4019
4095,0.076,0.72,0.205,-0.5267
4096,0.359,0.641,0.0,0.6808
4099,0.312,0.688,0.0,0.7664
4100,0.231,0.657,0.112,0.5588
4104,0.269,0.731,0.0,0.7964
4111,0.0,1.0,0.0,0.0
4121,0.069,0.885,0.046,0.1779
4122,0.237,0.763,0.0,0.4215
4123,0.071,0.847,0.082,-0.1027
4124,0.086,0.914,0.0,0.4767
4125,0.189,0.72,0.091,0.7717
4126,0.0,1.0,0.0,0.0
4138,0.238,0.762,0.0,0.3612
4139,0.429,0.571,0.0,0.8402
4140,0.0,1.0,0.0,0.0
4141,0.325,0.675,0.0,0.6486
4142,0.108,0.892,0.0,0.1779
4143,0.0,1.0,0.0,0.0
4161,0.154,0.789,0.057,0.5994
4176,0.0,1.0,0.0,0.0
4177,0.138,0.781,0.081,0.2263
4179,0.324,0.589,0.087,0.8158
4180,0.177,0.312,0.51,-0.4939
4181,0.0,1.0,0.0,0.0
4183,0.353,0.647,0.0,0.872
4186,0.0,1.0,0.0,0.0
4193,0.109,0.891,0.0,0.5267
4199,0.0,1.0,0.0,0.0
4200,0.278,0.722,0.0,0.4019
4201,0.0,1.0,0.0,0.0
4203,0.209,0.791,0.0,0.4404
4204,0.393,0.444,0.163,0.4767
4205,0.075,0.72,0.205,-0.5719
4206,0.205,0.795,0.0,0.2023
4229,0.195,0.682,0.123,0.1531
4248,0.067,0.788,0.145,-0.4927
4249,0.0,0.62,0.38,-0.5994
4251,0.086,0.833,0.08,0.0516
4261,0.0,0.786,0.214,-0.4576
4262,0.154,0.846,0.0,0.25
4266,0.169,0.831,0.0,0.3919
4268,0.0,0.694,0.306,-0.296
4269,0.0,0.833,0.167,-0.3818
4270,0.091,0.909,0.0,0.1779
4271,0.0,0.749,0.251,-0.6908
4272,0.0,0.802,0.198,-0.5704
4274,0.0,1.0,0.0,0.0
4275,0.0,0.896,0.104,-0.2144
4277,0.175,0.649,0.175,0.0
4278,0.184,0.816,0.0,0.2023
4283,0.0,0.888,0.112,-0.3412
4284,0.075,0.724,0.201,-0.5859
4334,0.276,0.724,0.0,0.4939
4335,0.141,0.729,0.13,0.0516
4336,0.168,0.748,0.084,0.4019
4337,0.184,0.816,0.0,0.4019
4344,0.102,0.898,0.0,0.1779
